,person,subset,# shots,Feature Set,AccLDAfew,AccLDAadapted,AccLDAsemi,AccLDAsemiAdapt,AccLDAsemi_shot,AccLDAsemiAdapt_shot,AccLDAsemi_accumulative,AccLDAsemiAdapt_accumulative,AccQDAfew,AccQDAadapted,AccQDAsemi,AccQDAsemiAdapt,AccQDAsemi_shot,AccQDAsemiAdapt_shot,AccQDAsemi_accumulative,AccQDAsemiAdapt_accumulative
0,20,"[1, 2]",2,1,0.9499439174160187,0.9605901028497557,0.9738978346419269,0.9810840098096995,0.9738978346419269,0.9810840098096995,0.9738978346419269,0.9810840098096995,0.9317693579969962,0.9828140149426817,0.9835554457139598,0.9782513640425087,0.9835554457139598,0.9782513640425087,0.9835554457139598,0.9782513640425087
1,20,"[1, 2, 3]",3,1,0.9499439174160187,0.9605901028497557,0.9762552042736831,0.9795060930400563,0.9771487234083002,0.9787266401779434,0.9788787285412824,0.9823767608980818,0.9317693579969962,0.9828140149426817,0.9953422938727401,0.9872245774795156,0.9947339404193837,0.9873766658428547,0.9921294271972015,0.9786125739054391
2,20,"[1, 2, 3, 4]",4,1,0.9499439174160187,0.9605901028497557,0.9758559723199178,0.9797722476758997,0.9595064732609646,0.963745936389042,0.9781563088154218,0.9757228950019962,0.9317693579969962,0.9828140149426817,0.988175129750385,0.9785745518146043,0.9690500180604932,0.9615976882568772,0.9750384973669702,0.9679473774262847
3,21,"[1, 2]",2,1,0.9189137829466203,0.9421735742926097,0.9328240503202022,0.9383919578891359,0.9328240503202022,0.9383919578891359,0.9328240503202022,0.9383919578891359,0.8822378047621763,0.9568249624688824,0.9252608175132546,0.9629819660604678,0.9252608175132546,0.9629819660604678,0.9252608175132546,0.9629819660604678
4,21,"[1, 2, 3]",3,1,0.9189137829466203,0.9421735742926097,0.9585922505368375,0.9597324363871311,0.9589343062919256,0.9583452102692739,0.9584402257567983,0.9594663930220626,0.8822378047621763,0.9568249624688824,0.9349523972407502,0.9667635824639417,0.9344583167056231,0.958516238146818,0.9274461737263174,0.9577751173441271
5,21,"[1, 2, 3, 4]",4,1,0.9189137829466203,0.9421735742926097,0.9549056496208882,0.9580411607091956,0.962430876232826,0.9632290063280314,0.9629059536704483,0.9630389753529826,0.8822378047621763,0.9568249624688824,0.933033084392756,0.963685080668149,0.934648347680672,0.944263915018148,0.9362066016760732,0.9450240389183437
6,22,"[1, 2]",2,1,0.9685362517099864,0.9524243806049552,0.9660092719258246,0.9903860769113847,0.9660092719258246,0.9903860769113847,0.9660092719258246,0.9903860769113847,0.8741450068399452,0.9407584739322086,0.8809659522723818,0.9675482596139231,0.8809659522723818,0.9675482596139231,0.8809659522723818,0.9675482596139231
7,22,"[1, 2, 3]",3,1,0.9685362517099864,0.9524243806049552,0.9959340325277398,0.9952120383036935,0.9962570299437604,0.9957630338957288,0.9940910472716218,0.9936920504635963,0.8741450068399452,0.9407584739322086,0.9490044079647363,0.9956110351117191,0.9340135278917768,0.9959150326797386,0.9141776865785074,0.9963520291837665
8,22,"[1, 2, 3, 4]",4,1,0.9685362517099864,0.9524243806049552,0.9946990424076607,0.9956300349597204,0.9927990576075392,0.9922860617115064,0.9934260525915792,0.9927990576075392,0.8741450068399452,0.9407584739322086,0.985047119623043,0.9988980088159295,0.9908610731114151,0.9944140446876425,0.9889230886152911,0.994281045751634
9,23,"[1, 2]",2,1,0.9939025548485136,0.9978345521891917,0.9919460537562922,0.9924969132871118,0.9919460537562922,0.9924969132871118,0.9919460537562922,0.9924969132871118,0.9751353404881755,0.9930857631304018,0.9807199164213126,0.9981764650014247,0.9807199164213126,0.9981764650014247,0.9807199164213126,0.9981764650014247
10,23,"[1, 2, 3]",3,1,0.9939025548485136,0.9978345521891917,0.9908253395384177,0.992041029537468,0.9900465381327761,0.9909583056320638,0.9886598917276095,0.9893817076645456,0.9751353404881755,0.9930857631304018,0.9858296134485706,0.9977965618767214,0.9851837781365752,0.9971317314084909,0.9841960300123469,0.9940545160983949
11,23,"[1, 2, 3, 4]",4,1,0.9939025548485136,0.9978345521891917,0.998575363282363,0.9988602906258904,0.9991072276569475,0.9990882325007123,0.996086997815557,0.9961629784404977,0.9751353404881755,0.9930857631304018,0.9973596732833128,0.9991452179694178,0.998214455313895,0.9986893342197739,0.9973406781270776,0.9981384746889543
