,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,tIndL,AccLDAProp,tPropL,AccQDAInd,tIndQ,AccQDAProp,tPropQ
0,20,[2],1,1,,,0.949943917,0.000396709,0.969050018,0.000407601,0.931769358,0.000590613,0.983536435,0.000602884
1,20,"[2, 3]",2,1,,,0.969050018,0.000400519,0.978650596,0.000400277,0.983536435,0.000582915,0.992129427,0.000578725
2,20,"[2, 3, 4]",3,1,,,0.978650596,0.000395908,0.978270375,0.000394364,0.992129427,0.000575091,0.975038497,0.000577282
3,21,[2],1,1,,,0.918913783,0.000396912,0.927427171,0.000395854,0.882237805,0.000579939,0.92423465,0.000588932
4,21,"[2, 3]",2,1,,,0.927427171,0.000395359,0.950477928,0.000397564,0.92423465,0.000579281,0.926800068,0.000576652
5,21,"[2, 3, 4]",3,1,,,0.950477928,0.000396776,0.963210003,0.000393684,0.926800068,0.000578691,0.936358626,0.000575349
6,22,[2],1,1,,,0.968536252,0.000395401,0.960974312,0.000397783,0.874145007,0.000603349,0.879179967,0.000580848
7,22,"[2, 3]",2,1,,,0.960974312,0.000398887,0.991925065,0.000397203,0.879179967,0.000580005,0.912296702,0.000578227
8,22,"[2, 3, 4]",3,1,,,0.991925065,0.000397893,0.994300046,0.000394684,0.912296702,0.000576461,0.986453108,0.000578084
9,23,[2],1,1,,,0.993902555,0.000397975,0.993826574,0.000397366,0.97513534,0.000580957,0.980719916,0.000581381
10,23,"[2, 3]",2,1,,,0.993826574,0.000396407,0.98960965,0.000395417,0.980719916,0.00058199,0.98419603,0.000580334
11,23,"[2, 3, 4]",3,1,,,0.98960965,0.000398414,0.99572609,0.000395131,0.98419603,0.000579618,0.997340678,0.000579232
12,24,[2],1,1,,,0.883238993,0.000396966,0.911085363,0.000396006,0.662747407,0.000578748,0.783915207,0.000576568
13,24,"[2, 3]",2,1,,,0.911085363,0.000395321,0.961535539,0.000397716,0.783915207,0.000580544,0.90251871,0.000579107
14,24,"[2, 3, 4]",3,1,,,0.961535539,0.000397318,0.978497892,0.000394929,0.90251871,0.000580963,0.921665464,0.000592792
15,25,[2],1,1,,,0.988446775,0.00040596,0.99697868,0.000414243,0.988427773,0.000662814,0.994318398,0.000656101
16,25,"[2, 3]",2,1,,,0.99697868,0.000402167,0.999087903,0.000405161,0.994318398,0.000592714,0.996959678,0.000592293
17,25,"[2, 3, 4]",3,1,,,0.999087903,0.000426014,0.999296925,0.000405113,0.996959678,0.000605716,0.997491734,0.000592517
18,26,[2],1,1,,,0.996200752,0.000403947,0.99984803,0.000402416,0.988640249,0.000594477,0.998955207,0.000593452
19,26,"[2, 3]",2,1,,,0.99984803,0.000403641,1,0.000403863,0.998955207,0.000591296,1,0.000588611
20,26,"[2, 3, 4]",3,1,,,1,0.000404579,1,0.00040433,1,0.000591125,1,0.000588783
21,27,[2],1,1,,,0.86089997,0.000402823,0.818162815,0.000401501,0.911200213,0.000593326,0.852101703,0.000601517
22,27,"[2, 3]",2,1,,,0.818162815,0.000402996,0.831616753,0.000425076,0.852101703,0.000645398,0.850049407,0.000594256
23,27,"[2, 3, 4]",3,1,,,0.831616753,0.000404362,0.899418516,0.000401655,0.850049407,0.000590651,0.884273335,0.000592307
24,28,[2],1,1,,,0.995708155,0.00040288,0.997246382,0.000407288,0.997265373,0.000614964,0.998803601,0.000615519
25,28,"[2, 3]",2,1,,,0.997246382,0.000404703,0.998594705,0.00040325,0.998803601,0.000590108,0.997740134,0.000590032
26,28,"[2, 3, 4]",3,1,,,0.998594705,0.000418947,0.999639181,0.000435203,0.997740134,0.000613037,0.998290858,0.000665131
27,29,[2],1,1,,,0.987369181,0.000414434,0.998328553,0.000428508,0.991566791,0.000625739,0.99933522,0.000602892
28,29,"[2, 3]",2,1,,,0.998328553,0.000460811,0.999734088,0.000475776,0.99933522,0.000630287,0.999886038,0.000678166
29,29,"[2, 3, 4]",3,1,,,0.999734088,0.000442513,0.999620126,0.000452891,0.999886038,0.000702129,1,0.000722957
30,30,[2],1,1,,,0.815607958,0.000484586,0.870218709,0.000539262,0.79839246,0.000820317,0.941322895,0.000786905
31,30,"[2, 3]",2,1,,,0.870218709,0.000409175,0.918634921,0.00041428,0.941322895,0.000783901,0.995496608,0.000785003
