,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,tIndL,AccLDAProp,tPropL,AccQDAInd,tIndQ,AccQDAProp,tPropQ
0,20,[3],1,1,,,0.921674493,0.000397035,0.961369556,0.00054356,0.967909355,0.000584305,0.990019201,0.000584682
1,20,"[3, 4]",2,1,,,0.961369556,0.000401215,0.971236288,0.000411849,0.990019201,0.000582987,0.976407293,0.000581336
2,21,[3],1,1,,,0.938144918,0.000391412,0.960169508,0.000394235,0.928890409,0.000574498,0.952853315,0.000574076
3,21,"[3, 4]",2,1,,,0.960169508,0.00040081,0.966174486,0.000397143,0.952853315,0.000580651,0.941755506,0.000580329
4,22,[3],1,1,,,0.993312054,0.000392733,0.993293054,0.00039324,0.98130415,0.000601802,0.96876425,0.000717507
5,22,"[3, 4]",2,1,,,0.993293054,0.000429674,0.99247606,0.000414448,0.96876425,0.000591542,0.981855145,0.000585001
6,23,[3],1,1,,,0.978535473,0.000477053,0.97870643,0.000426455,0.974033621,0.000609622,0.981289771,0.000829891
7,23,"[3, 4]",2,1,,,0.97870643,0.000505214,0.992230981,0.000742225,0.981289771,0.000670477,0.996428911,0.000788995
8,24,[3],1,1,,,0.877141663,0.000553959,0.974641948,0.000546061,0.821126011,0.0006997,0.931960643,0.000629254
9,24,"[3, 4]",2,1,,,0.974641948,0.000483338,0.993902671,0.000463163,0.931960643,0.000621881,0.962504274,0.000598929
10,25,[3],1,1,,,0.996769658,0.000408138,0.998213811,0.000408461,0.992418196,0.000746438,0.99519249,0.000821093
11,25,"[3, 4]",2,1,,,0.998213811,0.00042051,0.999296925,0.000414548,0.99519249,0.000605631,0.997092692,0.000624854
12,26,[3],1,1,,,0.996257741,0.000414532,0.999829034,0.000411776,0.999734053,0.000614273,1,0.000603374
13,26,"[3, 4]",2,1,,,0.999829034,0.000413731,1,0.00046575,1,0.000902737,1,0.000648541
14,27,[3],1,1,,,0.826809061,0.000435771,0.832680906,0.000432926,0.850676497,0.000632205,0.847370021,0.000629694
15,27,"[3, 4]",2,1,,,0.832680906,0.000430179,0.871123442,0.00042583,0.847370021,0.000622745,0.907342657,0.000621727
16,28,[3],1,1,,,0.998290858,0.000438808,0.996543735,0.000426029,0.997493258,0.000633362,0.998442782,0.000630685
17,28,"[3, 4]",2,1,,,0.996543735,0.000426464,0.997075468,0.000441612,0.998442782,0.000621806,0.999544229,0.000613243
18,29,[3],1,1,,,0.999164277,0.000435726,0.999734088,0.000436148,1,0.000625972,0.999867044,0.000630694
19,29,"[3, 4]",2,1,,,0.999734088,0.000433988,0.999639119,0.000432152,0.999867044,0.000636695,0.999943019,0.000627603
20,30,[3],1,1,,,0.904155662,0.000412309,0.98654683,0.000406452,0.985482737,0.000587007,0.996541699,0.000590976
21,30,"[3, 4]",2,1,,,0.98654683,0.000396442,0.991468258,0.000396609,0.996541699,0.000584925,0.996408688,0.00057878
22,31,[3],1,1,,,0.976768924,0.000393569,0.988963814,0.000396099,0.955950233,0.000579255,0.966435559,0.000585458
23,31,"[3, 4]",2,1,,,0.988963814,0.000400156,0.992098015,0.000395528,0.966435559,0.000585005,0.981346757,0.000578204
24,32,[3],1,1,,,0.982487464,0.000400763,0.991148762,0.000395748,0.96974244,0.000590745,0.975744568,0.000580972
25,32,"[3, 4]",2,1,,,0.991148762,0.000397092,0.993959885,0.000396189,0.975744568,0.000575439,0.977302082,0.000578669
26,33,[3],1,1,,,0.970821928,0.000395073,0.979033607,0.000395478,0.986522962,0.000576246,0.984812196,0.000574327
27,33,"[3, 4]",2,1,,,0.979033607,0.000451167,0.983842762,0.000478069,0.984812196,0.000596648,0.909443431,0.000591658
28,34,[3],1,1,,,0.987782401,0.000408091,0.995724791,0.000397024,0.989264474,0.000627044,0.993121663,0.000587399
29,34,"[3, 4]",2,1,,,0.995724791,0.000424515,0.997377872,0.000450116,0.993121663,0.000636028,0.994603736,0.000634814
30,35,[3],1,1,,,0.942279558,0.000408817,0.942298558,0.000426925,0.910816408,0.000625906,0.9592651,0.000617092
31,35,"[3, 4]",2,1,,,0.942298558,0.000442787,0.919309179,0.000432142,0.9592651,0.000608982,0.955503201,0.000596935
32,36,[3],1,1,,,0.984155933,0.000429408,0.983301037,0.000433491,0.997663285,0.000653117,0.997720278,0.000664435
33,36,"[3, 4]",2,1,,,0.983301037,0.000424729,0.985694745,0.000478953,0.997720278,0.000635452,0.997226338,0.000607549
