,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,tIndL,AccLDAProp,tPropL,AccQDAInd,tIndQ,AccQDAProp,tPropQ
0,31,[2],1,1,,,0.700701506,0.000303245,0.726380487,0.000304539,0.654524392,0.000452085,0.734328742,0.000440269
1,31,"[2, 3]",2,1,,,0.726380487,0.000291713,0.738383318,0.000287932,0.734328742,0.000420575,0.777352298,0.000420054
2,31,"[2, 3, 4]",3,1,,,0.738383318,0.000289135,0.730853392,0.000289504,0.777352298,0.000422073,0.792379972,0.000420845
3,31,"[2, 3, 4, 5]",4,1,,,0.730853392,0.000293623,0.727732012,0.000289142,0.792379972,0.000421417,0.779443944,0.000420722
4,31,"[2, 3, 4, 5, 6]",5,1,,,0.727732012,0.000290178,0.732108379,0.000288415,0.779443944,0.000420795,0.792573047,0.000418985
5,31,"[2, 3, 4, 5, 6, 7]",6,1,,,0.732108379,0.000288823,0.738608573,0.000287857,0.792573047,0.000424108,0.814969752,0.000420016
6,31,"[2, 3, 4, 5, 6, 7, 8]",7,1,,,0.738608573,0.000292086,0.73635603,0.000289169,0.814969752,0.000419081,0.811172609,0.000420025
7,31,"[2, 3, 4, 5, 6, 7, 8, 9]",8,1,,,0.73635603,0.000290402,0.737257047,0.000288684,0.811172609,0.000420206,0.824301712,0.000418776
8,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",9,1,,,0.737257047,0.000288617,0.737096151,0.0002899,0.824301712,0.000422388,0.826586433,0.000485719
9,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",10,1,,,0.737096151,0.000290239,0.738930364,0.000288453,0.826586433,0.000420003,0.823915562,0.00042029
10,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",11,1,,,0.738930364,0.000293002,0.744014674,0.000290491,0.823915562,0.000419097,0.811655297,0.000419321
11,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",12,1,,,0.744014674,0.000290331,0.743403269,0.00028886,0.811655297,0.000425612,0.784045566,0.000420487
12,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",13,1,,,0.743403269,0.000288651,0.747232591,0.000290228,0.784045566,0.000421168,0.789516025,0.000422488
13,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",14,1,,,0.747232591,0.000291118,0.747683099,0.000289886,0.789516025,0.000420259,0.798075685,0.000418825
14,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",15,1,,,0.747683099,0.000288659,0.750933196,0.000288063,0.798075685,0.000422959,0.800489123,0.000420506
15,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",16,1,,,0.750933196,0.000288526,0.748905908,0.000289485,0.800489123,0.00042054,0.809241859,0.000421716
16,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",17,1,,,0.748905908,0.000291993,0.747940533,0.000288924,0.809241859,0.000420684,0.807375467,0.000421088
17,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",18,1,,,0.747940533,0.000290837,0.748487579,0.000289416,0.807375467,0.000420783,0.809434934,0.000418244
18,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",19,1,,,0.748487579,0.000289396,0.749967821,0.000288959,0.809434934,0.000418295,0.785686704,0.000418981
19,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",20,1,,,0.749967821,0.000289569,0.746717724,0.000292896,0.785686704,0.000420842,0.776290385,0.000420161
20,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",21,1,,,0.746717724,0.000289422,0.744368645,0.000288171,0.776290385,0.00042208,0.777062685,0.000432932
21,31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",22,1,,,0.744368645,0.000289077,0.745366199,0.000289799,0.777062685,0.000421254,0.773329901,0.000419726
