,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,AccLDAInd,tIndL,AccLDAProp,tPropL,AccQDAInd,tIndQ,AccQDAProp,tPropQ
0,1,[2],1,1,,,0.485932492,0.000975551,0.492422144,0.000979176,0.460171738,0.001454165,0.512365953,0.001458111
1,1,"[2, 3]",2,1,,,0.492422144,0.000977512,0.486921768,0.000968798,0.512365953,0.001446154,0.524237268,0.001454945
2,1,"[2, 3, 4]",3,1,,,0.486921768,0.000977894,0.50318547,0.00097448,0.524237268,0.001453927,0.568992125,0.001449675
3,2,[2],1,1,,,0.506252772,0.000973292,0.535920177,0.000975802,0.443414634,0.001451074,0.513303769,0.001451417
4,2,"[2, 3]",2,1,,,0.535920177,0.000982204,0.583281596,0.000983206,0.513303769,0.001450865,0.60616408,0.001452664
5,2,"[2, 3, 4]",3,1,,,0.583281596,0.000976096,0.612017738,0.000973471,0.60616408,0.00144542,0.628558758,0.001473544
6,3,[2],1,1,,,0.542108123,0.000977815,0.547360319,0.000982141,0.406411301,0.001450614,0.474644571,0.001447951
7,3,"[2, 3]",2,1,,,0.547360319,0.000979242,0.560762474,0.000975449,0.474644571,0.001450951,0.531467898,0.00145476
8,3,"[2, 3, 4]",3,1,,,0.560762474,0.000980371,0.57267047,0.000976641,0.531467898,0.001455363,0.573847686,0.001453524
9,4,[2],1,1,,,0.408596703,0.000982367,0.419742021,0.000986588,0.365924944,0.001452734,0.434745333,0.001450797
10,4,"[2, 3]",2,1,,,0.419742021,0.00097866,0.432991699,0.00097694,0.434745333,0.00145257,0.490393983,0.001449695
11,4,"[2, 3, 4]",3,1,,,0.432991699,0.00098232,0.438642298,0.000981246,0.490393983,0.001453243,0.522855695,0.001449679
12,5,[2],1,1,,,0.403692693,0.000977432,0.411711782,0.00099657,0.391370678,0.001456273,0.49119856,0.001456749
13,5,"[2, 3]",2,1,,,0.411711782,0.001013247,0.441128149,0.000977366,0.49119856,0.00145651,0.529299014,0.00145863
14,5,"[2, 3, 4]",3,1,,,0.441128149,0.002434812,0.449303708,0.002425651,0.529299014,0.003576305,0.558128618,0.003534932
15,6,[2],1,1,,,0.373216493,0.00115557,0.392502715,0.001160629,0.319439763,0.001955332,0.364865371,0.002319785
16,6,"[2, 3]",2,1,,,0.392502715,0.001091674,0.40549751,0.001039505,0.364865371,0.001551076,0.391866082,0.001577171
17,6,"[2, 3, 4]",3,1,,,0.40549751,0.001003491,0.417256488,0.000993089,0.391866082,0.001474213,0.446017301,0.00147828
18,7,[2],1,1,,,0.445742246,0.001002372,0.445308184,0.000998745,0.394601847,0.001491963,0.446057928,0.001484316
19,7,"[2, 3]",2,1,,,0.445308184,0.000999474,0.438284271,0.00099741,0.446057928,0.001485199,0.494041512,0.001482157
20,7,"[2, 3, 4]",3,1,,,0.438284271,0.001001555,0.450201247,0.001002386,0.494041512,0.001486795,0.511443454,0.001477846
21,8,[2],1,1,,,0.473036616,0.001001403,0.476685477,0.000999842,0.457125886,0.001482621,0.520429378,0.00148485
22,8,"[2, 3]",2,1,,,0.476685477,0.000996248,0.477109763,0.000998284,0.520429378,0.001483244,0.545419831,0.001482664
23,8,"[2, 3, 4]",3,1,,,0.477109763,0.000996381,0.492638635,0.000994995,0.545419831,0.00148432,0.589375875,0.001479138
24,9,[2],1,1,,,0.558028355,0.000996866,0.579129575,0.0009995,0.562644247,0.001475149,0.588691065,0.001478402
25,9,"[2, 3]",2,1,,,0.579129575,0.000997929,0.588196505,0.000993321,0.588691065,0.001488481,0.606206726,0.001479035
26,9,"[2, 3, 4]",3,1,,,0.588196505,0.000997655,0.590051105,0.001000481,0.606206726,0.001485586,0.612265084,0.001480696
27,10,[2],1,1,,,0.498358293,0.000997631,0.516497157,0.000997948,0.426924001,0.001477025,0.486225675,0.001480794
28,10,"[2, 3]",2,1,,,0.516497157,0.001005071,0.507728037,0.000996416,0.486225675,0.001489066,0.565107712,0.001486043
29,10,"[2, 3, 4]",3,1,,,0.507728037,0.00100273,0.546648514,0.000999073,0.565107712,0.001487804,0.602186274,0.001483884
